xintercept	showSelected1	showSelected2	PANEL
4.69131337069624	6.35	5	1
5.08774724684302	6.35	6	1
5.31356727267594	6.35	7	1
3.43173472707878	6.4	1	1
3.61816469957563	6.4	2	1
3.86804172887952	6.4	3	1
4.25109415303447	6.4	4	1
4.74131337069624	6.4	5	1
5.13774724684302	6.4	6	1
5.36356727267594	6.4	7	1
3.43173472707878	6.45	1	1
3.61816469957563	6.45	2	1
3.86804172887952	6.45	3	1
4.27609415303447	6.45	4	1
4.79131337069624	6.45	5	1
5.18774724684302	6.45	6	1
5.41356727267594	6.45	7	1
3.43173472707878	6.5	1	1
3.61816469957563	6.5	2	1
3.86804172887952	6.5	3	1
4.30109415303447	6.5	4	1
4.84131337069624	6.5	5	1
5.23774724684302	6.5	6	1
5.46356727267594	6.5	7	1
-2.02930047961761	4	1	2
-1.65868662930376	4	2	2
-1.26225275315698	4	3	2
-0.802349000122638	4	4	2
-0.381835300424372	4	5	2
-0.131958271120483	4	6	2
0.131488785686559	4	7	2
-2.02930047961761	4.05	1	2
-1.65868662930376	4.05	2	2
-1.26225275315698	4.05	3	2
-0.827349000122638	4.05	4	2
-0.431835300424371	4.05	5	2
-0.181958271120483	4.05	6	2
0.0814887856865591	4.05	7	2
-2.02930047961761	4.1	1	2
-1.65868662930376	4.1	2	2
-1.26225275315698	4.1	3	2
-0.852349000122638	4.1	4	2
-0.481835300424371	4.1	5	2
-0.231958271120482	4.1	6	2
0.0314887856865592	4.1	7	2
-2.02930047961761	4.15	1	2
-1.65868662930376	4.15	2	2
-1.26225275315698	4.15	3	2
-0.877349000122638	4.15	4	2
-0.531835300424372	4.15	5	2
-0.281958271120483	4.15	6	2
-0.0185112143134415	4.15	7	2
-2.02930047961761	4.2	1	2
-1.65868662930376	4.2	2	2
-1.26225275315698	4.2	3	2
-0.902349000122638	4.2	4	2
-0.581835300424372	4.2	5	2
-0.331958271120483	4.2	6	2
-0.0685112143134413	4.2	7	2
-2.02930047961761	4.25	1	2
-1.65868662930376	4.25	2	2
-1.26225275315698	4.25	3	2
-0.927349000122638	4.25	4	2
-0.631835300424372	4.25	5	2
-0.381958271120483	4.25	6	2
-0.118511214313441	4.25	7	2
-2.02930047961761	4.3	1	2
-1.65868662930376	4.3	2	2
-1.26225275315698	4.3	3	2
-0.952349000122638	4.3	4	2
-0.681835300424371	4.3	5	2
-0.431958271120483	4.3	6	2
-0.168511214313441	4.3	7	2
-2.02930047961761	4.35	1	2
-1.65868662930376	4.35	2	2
-1.26225275315698	4.35	3	2
