xintercept	showSelected1	showSelected2
-2.02930047961761	4.66816745440284	1
-1.65868662930376	4.66816745440284	2
-1.26225275315698	4.66816745440284	3
-1.05000275482721	4.66816745440284	4
-0.800125725523322	4.66816745440284	5
-0.53667866871628	4.66816745440284	6
-2.02930047961761	4.7	1
-1.65868662930376	4.7	2
-1.27816902595556	4.7	3
-1.15234900012264	4.7	4
-1.06591902762579	4.7	5
-0.831958271120483	4.7	6
-0.568511214313441	4.7	7
-2.02930047961761	4.75	1
-1.65868662930376	4.75	2
-1.30316902595556	4.75	3
-1.17734900012264	4.75	4
-1.09091902762579	4.75	5
-0.881958271120483	4.75	6
-0.618511214313441	4.75	7
-2.02930047961761	4.8	1
-1.65868662930376	4.8	2
-1.32816902595556	4.8	3
-1.20234900012264	4.8	4
-1.11591902762579	4.8	5
-0.931958271120483	4.8	6
-0.668511214313441	4.8	7
-2.02930047961761	4.84102739939653	1
-1.65868662930376	4.84102739939653	2
-1.34868272565383	4.84102739939653	3
-1.22286269982091	4.84102739939653	4
-0.972985670517016	4.84102739939653	5
-0.709538613709975	4.84102739939653	6
-2.02930047961761	4.85	1
-1.65868662930376	4.85	2
-1.35316902595556	4.85	3
-1.23183530042437	4.85	4
-1.14091902762579	4.85	5
-0.977471970818749	4.85	6
-0.718511214313441	4.85	7
-2.02930047961761	4.9	1
-1.65868662930376	4.9	2
-1.37816902595556	4.9	3
-1.28183530042437	4.9	4
-1.16591902762579	4.9	5
-1.00247197081875	4.9	6
-0.768511214313442	4.9	7
-2.02930047961761	4.91980750606868	1
-1.65868662930376	4.91980750606868	2
-1.30164280649305	4.91980750606868	3
-1.17582278066013	4.91980750606868	4
-1.01237572385309	4.91980750606868	5
-0.788318720382122	4.91980750606868	6
-2.02930047961761	4.95	1
-1.67378287626942	4.95	2
-1.40316902595556	4.95	3
-1.31673905345871	4.95	4
-1.19091902762579	4.95	5
-1.02747197081875	4.95	6
-0.818511214313441	4.95	7
-2.02930047961761	5	1
-1.69878287626942	5	2
-1.42816902595556	5	3
-1.34173905345871	5	4
-1.21591902762579	5	5
-1.05247197081875	5	6
-0.868511214313441	5	7
-2.02930047961761	5.05	1
-1.72378287626942	5.05	2
-1.45316902595556	5.05	3
-1.36673905345871	5.05	4
-1.24091902762579	5.05	5
-1.07747197081875	5.05	6
-0.918511214313441	5.05	7
-2.02930047961761	5.09266745106238	1
-1.7451166018006	5.09266745106238	2
-1.47450275148675	5.09266745106238	3
-1.26225275315698	5.09266745106238	4
-1.09880569634994	5.09266745106238	5
-0.961178665375817	5.09266745106238	6
-2.02930047961761	5.1	1
-1.74878287626942	5.1	2
-1.48183530042437	5.1	3
-1.39173905345871	5.1	4
