x	y	label	clickSelects	showSelected1	group
1.04	1.01	3	3	5.35	-1
0.08	1.01	4	4	5.35	-1
0.08	0.01	5	5	5.35	-1
1.04	0.01	6	6	5.35	-1
1.08	1.01	7	7	5.35	-1
0.04	0.01	1	1	5.4	-1
0.04	1.01	2	2	5.4	-1
1.04	1.01	3	3	5.4	-1
0.08	1.01	4	4	5.4	-1
0.08	0.01	5	5	5.4	-1
1.04	0.01	6	6	5.4	-1
1.08	1.01	7	7	5.4	-1
0.04	0.01	1	1	5.41956156467646	-1
0.04	1.01	2	2	5.41956156467646	-1
1.04	1.01	3	3	5.41956156467646	-1
0.08	1.01	4	4	5.41956156467646	-1
1.04	0.01	5	5	5.41956156467646	-1
1.08	1.01	6	6	5.41956156467646	-1
0.04	0.01	1	1	5.45	-1
0.04	1.01	2	2	5.45	-1
1.04	1.01	3	3	5.45	-1
0.08	1.01	4	4	5.45	-1
1.08	1.01	5	5	5.45	-1
1.04	0.01	6	6	5.45	-1
1.12	1.01	7	7	5.45	-1
0.04	0.01	1	1	5.46103520669639	-1
1.04	1.01	2	2	5.46103520669639	-1
0.04	1.01	3	3	5.46103520669639	-1
1.08	1.01	4	4	5.46103520669639	-1
1.04	0.01	5	5	5.46103520669639	-1
1.12	1.01	6	6	5.46103520669639	-1
0.04	0.01	1	1	5.5	-1
1.04	0.01	2	2	5.5	-1
1.04	1.01	3	3	5.5	-1
0.04	1.01	4	4	5.5	-1
1.08	1.01	5	5	5.5	-1
1.08	0.01	6	6	5.5	-1
1.12	1.01	7	7	5.5	-1
0.04	0.01	1	1	5.55	-1
1.04	0.01	2	2	5.55	-1
1.04	1.01	3	3	5.55	-1
0.04	1.01	4	4	5.55	-1
1.08	1.01	5	5	5.55	-1
1.08	0.01	6	6	5.55	-1
1.12	1.01	7	7	5.55	-1
0.04	0.01	1	1	5.6	-1
1.04	0.01	2	2	5.6	-1
1.04	1.01	3	3	5.6	-1
0.04	1.01	4	4	5.6	-1
1.08	1.01	5	5	5.6	-1
1.08	0.01	6	6	5.6	-1
1.12	1.01	7	7	5.6	-1
0.04	0.01	1	1	5.63389515169009	-1
1.04	0.01	2	2	5.63389515169009	-1
0.04	1.01	3	3	5.63389515169009	-1
1.04	1.01	4	4	5.63389515169009	-1
1.08	0.01	5	5	5.63389515169009	-1
1.08	1.01	6	6	5.63389515169009	-1
0.04	0.01	1	1	5.65	-1
1.04	0.01	2	2	5.65	-1
0.08	0.01	3	3	5.65	-1
0.04	1.01	4	4	5.65	-1
1.04	1.01	5	5	5.65	-1
1.08	0.01	6	6	5.65	-1
1.08	1.01	7	7	5.65	-1
0.04	0.01	1	1	5.7	-1
1.04	0.01	2	2	5.7	-1
0.08	0.01	3	3	5.7	-1
0.04	1.01	4	4	5.7	-1
1.04	1.01	5	5	5.7	-1
1.08	0.01	6	6	5.7	-1
1.08	1.01	7	7	5.7	-1
0.04	0.01	1	1	5.75	-1
1.04	0.01	2	2	5.75	-1
0.08	0.01	3	3	5.75	-1
0.04	1.01	4	4	5.75	-1
1.04	1.01	5	5	5.75	-1
1.08	0.01	6	6	5.75	-1
1.08	1.01	7	7	5.75	-1
0.04	0.01	1	1	5.8	-1
1.04	0.01	2	2	5.8	-1
0.08	0.01	3	3	5.8	-1
0.04	1.01	4	4	5.8	-1
1.04	1.01	5	5	5.8	-1
1.08	0.01	6	6	5.8	-1
1.08	1.01	7	7	5.8	-1
0.04	0.01	1	1	5.85	-1
1.04	0.01	2	2	5.85	-1
0.08	0.01	3	3	5.85	-1
0.04	1.01	4	4	5.85	-1
1.04	1.01	5	5	5.85	-1
1.08	0.01	6	6	5.85	-1
1.08	1.01	7	7	5.85	-1
0.04	0.01	1	1	5.9	-1
1.04	0.01	2	2	5.9	-1
0.08	0.01	3	3	5.9	-1
0.04	1.01	4	4	5.9	-1
1.04	1.01	5	5	5.9	-1
1.08	0.01	6	6	5.9	-1
1.08	1.01	7	7	5.9	-1
0.04	0.01	1	1	5.95	-1
1.04	0.01	2	2	5.95	-1
0.08	0.01	3	3	5.95	-1
0.04	1.01	4	4	5.95	-1
1.04	1.01	5	5	5.95	-1
1.08	0.01	6	6	5.95	-1
1.08	1.01	7	7	5.95	-1
0.04	0.01	1	1	5.96078926530417	-1
1.04	0.01	2	2	5.96078926530417	-1
0.08	0.01	3	3	5.96078926530417	-1
1.04	1.01	4	4	5.96078926530417	-1
1.08	0.01	5	5	5.96078926530417	-1
1.08	1.01	6	6	5.96078926530417	-1
0.04	0.01	1	1	6	-1
1.04	0.01	2	2	6	-1
0.08	0.01	3	3	6	-1
1.08	0.01	4	4	6	-1
1.04	1.01	5	5	6	-1
1.12	0.01	6	6	6	-1
1.08	1.01	7	7	6	-1
0.04	0.01	1	1	6.05	-1
1.04	0.01	2	2	6.05	-1
0.08	0.01	3	3	6.05	-1
1.08	0.01	4	4	6.05	-1
1.04	1.01	5	5	6.05	-1
1.12	0.01	6	6	6.05	-1
1.08	1.01	7	7	6.05	-1
0.04	0.01	1	1	6.1	-1
1.04	0.01	2	2	6.1	-1
0.08	0.01	3	3	6.1	-1
1.08	0.01	4	4	6.1	-1
1.04	1.01	5	5	6.1	-1
1.12	0.01	6	6	6.1	-1
1.08	1.01	7	7	6.1	-1
0.04	0.01	1	1	6.15	-1
1.04	0.01	2	2	6.15	-1
0.08	0.01	3	3	6.15	-1
1.08	0.01	4	4	6.15	-1
1.04	1.01	5	5	6.15	-1
1.12	0.01	6	6	6.15	-1
1.08	1.01	7	7	6.15	-1
0.04	0.01	1	1	6.2	-1
1.04	0.01	2	2	6.2	-1
0.08	0.01	3	3	6.2	-1
1.08	0.01	4	4	6.2	-1
1.04	1.01	5	5	6.2	-1
1.12	0.01	6	6	6.2	-1
1.08	1.01	7	7	6.2	-1
0.04	0.01	1	1	6.25	-1
1.04	0.01	2	2	6.25	-1
0.08	0.01	3	3	6.25	-1
1.08	0.01	4	4	6.25	-1
1.04	1.01	5	5	6.25	-1
1.12	0.01	6	6	6.25	-1
1.08	1.01	7	7	6.25	-1
0.04	0.01	1	1	6.3	-1
1.04	0.01	2	2	6.3	-1
0.08	0.01	3	3	6.3	-1
1.08	0.01	4	4	6.3	-1
1.04	1.01	5	5	6.3	-1
1.12	0.01	6	6	6.3	-1
1.08	1.01	7	7	6.3	-1
0.04	0.01	1	1	6.35	-1
1.04	0.01	2	2	6.35	-1
0.08	0.01	3	3	6.35	-1
1.08	0.01	4	4	6.35	-1
1.04	1.01	5	5	6.35	-1
1.12	0.01	6	6	6.35	-1
1.08	1.01	7	7	6.35	-1
0.04	0.01	1	1	6.4	-1
1.04	0.01	2	2	6.4	-1
0.08	0.01	3	3	6.4	-1
1.08	0.01	4	4	6.4	-1
1.04	1.01	5	5	6.4	-1
1.12	0.01	6	6	6.4	-1
1.08	1.01	7	7	6.4	-1
